cnae_code,cnae_text,risk_tier,base_weight,sanitary_risk,fire_risk,environmental_risk,notes,source,is_active
62.09-1-00,Suporte técnico  manutenção e outros serviços em tecnologia da informação,LOW,10,LOW,LOW,LOW,,bootstrap,true
63.11-9-00,Tratamento de dados  provedores de serviços de aplicação e serviços de hospedagem na internet,LOW,10,LOW,LOW,LOW,,bootstrap,true
63.19-4-00,Portais  provedores de conteúdo e outros serviços de informação na internet,LOW,10,LOW,LOW,LOW,,bootstrap,true
64.62-0-00,Holdings de instituições não-financeiras,LOW,10,LOW,LOW,LOW,,bootstrap,true
66.19-3-02,Correspondentes de instituições financeiras,LOW,10,LOW,LOW,LOW,,bootstrap,true
68.10-2-01,Compra e venda de imóveis próprios,LOW,10,LOW,LOW,LOW,,bootstrap,true
68.10-2-02,Aluguel de imóveis próprios,LOW,10,LOW,LOW,LOW,,bootstrap,true
68.10-2-03,Loteamento de imóveis próprios,LOW,10,LOW,LOW,LOW,,bootstrap,true
68.21-8-01,Corretagem na compra e venda e avaliação de imóveis,LOW,10,LOW,LOW,LOW,,bootstrap,true
68.21-8-02,Corretagem no aluguel de imóveis,LOW,10,LOW,LOW,LOW,,bootstrap,true
68.22-6-00,Gestão e administração da propriedade imobiliária,LOW,10,LOW,LOW,LOW,,bootstrap,true
69.11-7-01,Serviços advocatícios,LOW,10,LOW,LOW,LOW,,bootstrap,true
69.12-5-00,Cartórios,LOW,10,LOW,LOW,LOW,,bootstrap,true
69.20-6-01,Atividades de contabilidade,LOW,10,LOW,LOW,LOW,,bootstrap,true
70.20-4-00,Atividades de consultoria em gestão empresarial,LOW,10,LOW,LOW,LOW,,bootstrap,true
71.11-1-00,Serviços de arquitetura,LOW,10,LOW,LOW,LOW,,bootstrap,true
71.12-0-00,Serviços de engenharia (Dispensada *),LOW,10,LOW,LOW,LOW,,bootstrap,true
71.19-7-03,Serviços de desenho técnico relacionados à arquitetura e engenharia,LOW,10,LOW,LOW,LOW,,bootstrap,true
71.19-7-04,Serviços de perícia técnica relacionados à segurança do trabalho,LOW,10,LOW,LOW,LOW,,bootstrap,true
71.20-1-00,Testes e análises técnicas,LOW,10,LOW,LOW,LOW,,bootstrap,true
72.10-0-00,Pesquisa e desenvolvimento experimental em ciências físicas e naturais,LOW,10,LOW,LOW,LOW,,bootstrap,true
73.11-4-00,Agências de publicidade,LOW,10,LOW,LOW,LOW,,bootstrap,true
73.12-2-00,Agenciamento de espaços para publicidade  exceto em veículos de comunicação,LOW,10,LOW,LOW,LOW,,bootstrap,true
73.19-0-01,Criação de estandes para feiras e exposições,LOW,10,LOW,LOW,LOW,,bootstrap,true
73.19-0-02,Promoção de vendas,LOW,10,LOW,LOW,LOW,,bootstrap,true
73.19-0-03,Marketing direto,LOW,10,LOW,LOW,LOW,,bootstrap,true
73.19-0-99,Outras atividades de publicidade não especificadas anteriormente,LOW,10,LOW,LOW,LOW,,bootstrap,true
74.10-2-99,Atividades de desing não especificadas anteriormente,LOW,10,LOW,LOW,LOW,,bootstrap,true
74.20-0-01,Atividades de produção de fotografias  exceto aérea e submarina,LOW,10,LOW,LOW,LOW,,bootstrap,true
74.90-1-01,Serviços de tradução  interpretação e similares,LOW,10,LOW,LOW,LOW,,bootstrap,true
74.90-1-03,Serviços de agronomia e de consultoria às atividades agrícolas e pecuárias,LOW,10,LOW,LOW,LOW,,bootstrap,true
74.90-1-04,Atividades de intermediação e agenciamento de serviços e negócios em geral  exceto imobiliários,LOW,10,LOW,LOW,LOW,,bootstrap,true
74.90-1-05,Agenciamento de profissionais para atividades esportivas  culturais e artísticas,LOW,10,LOW,LOW,LOW,,bootstrap,true
74.90-1-99,Outras atividades profissionais  científicas e técnicas não especificadas anteriormente,LOW,10,LOW,LOW,LOW,,bootstrap,true
77.11-0-00,Locação de automóveis sem condutor,LOW,10,LOW,LOW,LOW,,bootstrap,true
77.23-3-00,Aluguel de objetos do vestuário  jóias e acessórios,LOW,10,LOW,LOW,LOW,,bootstrap,true
77.31-4-00,Aluguel de máquinas e equipamentos agrícolas sem operador,LOW,10,LOW,LOW,LOW,,bootstrap,true
77.32-2-01,Aluguel de máquinas e equipamentos para construção sem operador  exceto andaimes,LOW,10,LOW,LOW,LOW,,bootstrap,true
77.39-0-02,Aluguel de equipamentos científicos  médicos e hospitalares  sem operador,LOW,10,LOW,LOW,LOW,,bootstrap,true
77.39-0-03,Aluguel de palcos  coberturas e outras estruturas de uso temporário  exceto andaimes,LOW,10,LOW,LOW,LOW,,bootstrap,true
77.39-0-99,Aluguel de outras máquinas e equipamentos comerciais e industriais não especificados anteriormente  sem operador,LOW,10,LOW,LOW,LOW,,bootstrap,true
78.20-5-00,Locação de mão-de-obra temporária,LOW,10,LOW,LOW,LOW,,bootstrap,true
79.12-1-00,Operadores turísticos,LOW,10,LOW,LOW,LOW,,bootstrap,true
79.90-2-00,Serviços de reservas e outros serviços de turismo não especificados anteriormente,LOW,10,LOW,LOW,LOW,,bootstrap,true
80.11-1-01,Atividades de vigilância e segurança privada,MEDIUM,30,LOW,HIGH,LOW,,calibrated_v1,true
81.21-4-00,Limpeza em prédios e em domicílios,LOW,10,LOW,LOW,LOW,,bootstrap,true
81.29-0-00,Atividades de limpeza não especificadas anteriormente,LOW,10,LOW,LOW,LOW,,bootstrap,true
81.30-3-00,Atividades paisagísticas,LOW,10,LOW,LOW,LOW,,bootstrap,true
82.11-3-00,Serviços combinados de escritório e apoio administrativo (Dispensada *),LOW,10,LOW,LOW,LOW,,bootstrap,true
82.19-9-01,Fotocópias,LOW,10,LOW,LOW,LOW,,bootstrap,true
82.19-9-99,Preparação de documentos e serviços especializados de apoio administrativo não especificados anteriormente,LOW,10,LOW,LOW,LOW,,bootstrap,true
82.20-2-00,Atividades de teleatendimento,LOW,10,LOW,LOW,LOW,,bootstrap,true
82.30-0-01,Serviços de organização de feiras  congressos  exposições e festas,LOW,10,LOW,LOW,LOW,,bootstrap,true
82.30-0-02,Casas de festas e eventos,LOW,10,LOW,LOW,LOW,,bootstrap,true
82.99-7-01,Medição de consumo de energia elétrica  gás e água,LOW,10,LOW,LOW,LOW,,bootstrap,true
82.99-7-06,Casas lotéricas,LOW,10,LOW,LOW,LOW,,bootstrap,true
